[0] [0/167] time: 0:01:03.986467, [d_loss: 18.333263, g_loss: 107.123444]
[0] [1/167] time: 0:01:06.141620, [d_loss: 42.335957, g_loss: 215.186401]
[0] [2/167] time: 0:01:07.720681, [d_loss: 30.053833, g_loss: 14.988588]
[0] [3/167] time: 0:01:09.311599, [d_loss: 10.428560, g_loss: 5.325154]
[0] [4/167] time: 0:01:10.904636, [d_loss: 4.762024, g_loss: 6.379376]
[0] [5/167] time: 0:01:12.847308, [d_loss: 1.666870, g_loss: 4.963026]
[0] [6/167] time: 0:01:14.439600, [d_loss: 0.646876, g_loss: 4.206460]
[0] [7/167] time: 0:01:16.016181, [d_loss: 0.442851, g_loss: 4.112506]
[0] [8/167] time: 0:01:17.605643, [d_loss: 0.287234, g_loss: 3.926510]
[0] [9/167] time: 0:01:19.537252, [d_loss: 0.314140, g_loss: 4.076351]
[0] [10/167] time: 0:01:21.135214, [d_loss: 0.288650, g_loss: 3.688071]
[0] [11/167] time: 0:01:33.441940, [d_loss: 0.316299, g_loss: 4.403777]
[0] [12/167] time: 0:01:35.030574, [d_loss: 0.250271, g_loss: 4.199466]
[0] [13/167] time: 0:01:36.967319, [d_loss: 0.242417, g_loss: 5.087172]
[0] [14/167] time: 0:01:38.566739, [d_loss: 0.261883, g_loss: 4.385337]
[0] [15/167] time: 0:01:40.155213, [d_loss: 0.303345, g_loss: 3.846648]
[0] [16/167] time: 0:01:41.759782, [d_loss: 0.327161, g_loss: 4.119275]
[0] [17/167] time: 0:01:43.701471, [d_loss: 0.310915, g_loss: 4.214883]
[0] [18/167] time: 0:01:45.286678, [d_loss: 0.232359, g_loss: 5.062333]
[0] [19/167] time: 0:01:46.870160, [d_loss: 0.319367, g_loss: 3.825875]
[0] [20/167] time: 0:01:48.454312, [d_loss: 0.272396, g_loss: 4.929688]
[0] [21/167] time: 0:01:50.392920, [d_loss: 0.253992, g_loss: 4.236827]
[0] [22/167] time: 0:01:51.976815, [d_loss: 0.238707, g_loss: 4.908928]
[0] [23/167] time: 0:01:53.575214, [d_loss: 0.279649, g_loss: 3.932509]
[0] [24/167] time: 0:01:55.172904, [d_loss: 0.342236, g_loss: 4.896094]
[0] [25/167] time: 0:01:57.119709, [d_loss: 0.208939, g_loss: 4.360446]
[0] [26/167] time: 0:01:58.719567, [d_loss: 0.247507, g_loss: 4.963157]
[0] [27/167] time: 0:02:00.320270, [d_loss: 0.257315, g_loss: 3.859087]
[0] [28/167] time: 0:02:01.907513, [d_loss: 0.362949, g_loss: 5.311990]
[0] [29/167] time: 0:02:03.835754, [d_loss: 0.419557, g_loss: 5.436666]
[0] [30/167] time: 0:02:05.427992, [d_loss: 0.325824, g_loss: 3.700434]
[0] [31/167] time: 0:02:07.010578, [d_loss: 0.671569, g_loss: 5.083836]
[0] [32/167] time: 0:02:08.597367, [d_loss: 0.485362, g_loss: 3.426961]
[0] [33/167] time: 0:02:10.548869, [d_loss: 0.617087, g_loss: 4.905651]
[0] [34/167] time: 0:02:12.136699, [d_loss: 0.652081, g_loss: 3.406232]
[0] [35/167] time: 0:02:13.723304, [d_loss: 0.486878, g_loss: 3.890066]
[0] [36/167] time: 0:02:15.299639, [d_loss: 0.731224, g_loss: 3.099237]
[0] [37/167] time: 0:02:17.239945, [d_loss: 0.397701, g_loss: 2.752119]
[0] [38/167] time: 0:02:18.824837, [d_loss: 0.436496, g_loss: 2.662879]
[0] [39/167] time: 0:02:20.414894, [d_loss: 0.360464, g_loss: 2.767608]
[0] [40/167] time: 0:02:22.006067, [d_loss: 0.424407, g_loss: 2.895356]
[0] [41/167] time: 0:02:23.946479, [d_loss: 0.743307, g_loss: 4.219827]
[0] [42/167] time: 0:02:25.536303, [d_loss: 0.626030, g_loss: 2.985361]
[0] [43/167] time: 0:02:27.126633, [d_loss: 0.426721, g_loss: 2.619502]
[0] [44/167] time: 0:02:28.721038, [d_loss: 0.446689, g_loss: 2.720594]
[0] [45/167] time: 0:02:30.669227, [d_loss: 0.338672, g_loss: 2.972690]
[0] [46/167] time: 0:02:32.258876, [d_loss: 0.486993, g_loss: 2.783877]
[0] [47/167] time: 0:02:33.847695, [d_loss: 0.472660, g_loss: 2.943522]
[0] [48/167] time: 0:02:35.432378, [d_loss: 0.469342, g_loss: 2.533581]
[0] [49/167] time: 0:02:37.368658, [d_loss: 0.433639, g_loss: 3.001108]
[0] [50/167] time: 0:02:38.966671, [d_loss: 0.933935, g_loss: 2.506410]
[0] [51/167] time: 0:02:40.549957, [d_loss: 0.409207, g_loss: 2.470100]
[0] [52/167] time: 0:02:42.147168, [d_loss: 0.486049, g_loss: 2.804109]
[0] [53/167] time: 0:02:44.082191, [d_loss: 0.402304, g_loss: 2.237421]
[0] [54/167] time: 0:02:45.667854, [d_loss: 0.449279, g_loss: 2.460005]
[0] [55/167] time: 0:02:47.245510, [d_loss: 0.574649, g_loss: 2.812357]
[0] [56/167] time: 0:02:48.853584, [d_loss: 0.400473, g_loss: 2.578450]
[0] [57/167] time: 0:02:50.858340, [d_loss: 0.489041, g_loss: 2.284508]
[0] [58/167] time: 0:02:52.444178, [d_loss: 0.307833, g_loss: 2.737972]
[0] [59/167] time: 0:02:54.052476, [d_loss: 0.370001, g_loss: 3.122957]
[0] [60/167] time: 0:02:55.682885, [d_loss: 0.923885, g_loss: 2.054334]
[0] [61/167] time: 0:02:57.631640, [d_loss: 0.647711, g_loss: 2.607019]
[0] [62/167] time: 0:02:59.225335, [d_loss: 0.589404, g_loss: 2.199068]
[0] [63/167] time: 0:03:00.811246, [d_loss: 0.380101, g_loss: 3.060722]
[0] [64/167] time: 0:03:02.396337, [d_loss: 0.367286, g_loss: 2.636304]
[0] [65/167] time: 0:03:04.342635, [d_loss: 0.415024, g_loss: 2.384115]
[0] [66/167] time: 0:03:05.938270, [d_loss: 0.396344, g_loss: 2.312198]
[0] [67/167] time: 0:03:07.537510, [d_loss: 0.448816, g_loss: 2.225110]
[0] [68/167] time: 0:03:09.139330, [d_loss: 0.356618, g_loss: 2.741825]
[0] [69/167] time: 0:03:11.081259, [d_loss: 0.460467, g_loss: 2.869996]
[0] [70/167] time: 0:03:12.661724, [d_loss: 0.485911, g_loss: 2.409559]
[0] [71/167] time: 0:03:14.260012, [d_loss: 0.442224, g_loss: 3.009460]
[0] [72/167] time: 0:03:15.847042, [d_loss: 0.392365, g_loss: 2.481460]
[0] [73/167] time: 0:03:17.769335, [d_loss: 0.419779, g_loss: 2.031838]
[0] [74/167] time: 0:03:19.341743, [d_loss: 0.327402, g_loss: 2.286149]
[0] [75/167] time: 0:03:20.920666, [d_loss: 0.413041, g_loss: 2.262921]
[0] [76/167] time: 0:03:22.520786, [d_loss: 0.421518, g_loss: 2.635883]
[0] [77/167] time: 0:03:24.452247, [d_loss: 0.475557, g_loss: 2.362512]
[0] [78/167] time: 0:03:26.044182, [d_loss: 0.455320, g_loss: 2.460402]
[0] [79/167] time: 0:03:27.631101, [d_loss: 0.512480, g_loss: 2.418533]
[0] [80/167] time: 0:03:29.237364, [d_loss: 0.367998, g_loss: 2.751141]
[0] [81/167] time: 0:03:31.181457, [d_loss: 0.470737, g_loss: 2.238398]
[0] [82/167] time: 0:03:32.769535, [d_loss: 0.346487, g_loss: 2.309647]
[0] [83/167] time: 0:03:34.366191, [d_loss: 0.551018, g_loss: 2.473866]
[0] [84/167] time: 0:03:35.959833, [d_loss: 0.457023, g_loss: 2.037146]
[0] [85/167] time: 0:03:37.888863, [d_loss: 0.610501, g_loss: 2.465409]
[0] [86/167] time: 0:03:39.491050, [d_loss: 0.420518, g_loss: 2.329436]
[0] [87/167] time: 0:03:41.118508, [d_loss: 0.511156, g_loss: 2.714930]
[0] [88/167] time: 0:03:42.735647, [d_loss: 0.446017, g_loss: 2.151779]
[0] [89/167] time: 0:03:45.248853, [d_loss: 0.364038, g_loss: 2.374146]
[0] [90/167] time: 0:03:46.849246, [d_loss: 0.394311, g_loss: 2.738312]
[0] [91/167] time: 0:03:48.462935, [d_loss: 0.608266, g_loss: 2.428539]
[0] [92/167] time: 0:03:50.070763, [d_loss: 0.456146, g_loss: 2.215993]
[0] [93/167] time: 0:03:52.004309, [d_loss: 0.449173, g_loss: 2.294059]
[0] [94/167] time: 0:03:53.616980, [d_loss: 0.428039, g_loss: 2.336984]
[0] [95/167] time: 0:03:55.213439, [d_loss: 0.315820, g_loss: 2.093436]
[0] [96/167] time: 0:03:56.936137, [d_loss: 0.543466, g_loss: 3.752938]
[0] [97/167] time: 0:03:58.954601, [d_loss: 0.543455, g_loss: 2.172371]
[0] [98/167] time: 0:04:00.561961, [d_loss: 0.310506, g_loss: 2.762905]
[0] [99/167] time: 0:04:02.149003, [d_loss: 1.096714, g_loss: 3.526744]
[0] [100/167] time: 0:04:03.772996, [d_loss: 0.751399, g_loss: 2.010301]
[0] [101/167] time: 0:04:05.731056, [d_loss: 0.423629, g_loss: 1.950833]
[0] [102/167] time: 0:04:07.347436, [d_loss: 0.387132, g_loss: 2.590995]
[0] [103/167] time: 0:04:08.927671, [d_loss: 0.505515, g_loss: 2.437098]
